course_code,prerequisites,prereq_warnings,concurrent_with,min_standing,notes,warning_text
ACCO 1030,none,,,0.0,,
ACCO 1031,ACCO 1030,,,1.0,,
ACCO 3001,ACCO 1031,,,2.0,,
ACCO 3986,ACCO 3001;ACCO 4020,"major_restriction,instructor_consent",,0.0,,
ACCO 3987,ACCO 3001;ACCO 4020,"major_restriction,instructor_consent",,0.0,,
ACCO 4000,ACCO 3001,major_restriction,,0.0,,
ACCO 4010,ACCO 3001,,,0.0,,
ACCO 4015,ACCO 3001,,,0.0,,
ACCO 4020,ACCO 3001,,,0.0,,
ACCO 4030,ACCO 3001,,,0.0,,
ACCO 4040,ACCO 4020,may_be_concurrent,ACCO 4020,0.0,,
ACCO 4045,ACCO 4010,,,0.0,,
ACCO 4050,ACCO 1031,,,0.0,,
ACCO 4060,ACCO 4050,,,0.0,,
ACCO 4080,ACCO 3001,"major_restriction,admitted_program",,0.0,Alternative path includes AIM major or Commercial Banking Program admission.,
ACCO 4119,ACCO 4010,standing_requirement,,0.0,,
ACCO 4170,ACCO 4050,,,0.0,,
ACCO 4931,ACCO 3001,,,0.0,,
ACCO 4975,ACCO 4010,instructor_consent,,0.0,Prereq includes OR instructor consent; manual review required.,
ACCO 4986,ACCO 3986,instructor_consent,,0.0,Consent requirements apply; manual review required.,
ACCO 4987,ACCO 3987,"standing_requirement,instructor_consent",,0.0,,
ACCO 4989,ACCO 3001;ACCO 4020,"major_restriction,instructor_consent",,0.0,,
ACCO 4995,none,instructor_consent,,0.0,,
ACCOI 4931,ACCO 3001,instructor_consent,,0.0,,
AIM 3986,none,"major_restriction,instructor_consent",,0.0,,
AIM 4310,FINA 3001;ACCO 4080,"may_be_concurrent,major_restriction,instructor_consent",FINA 3001,0.0,,
AIM 4320,AIM 4310,"major_restriction,instructor_consent",,0.0,TODO: complex prereq; extracted codes=AIM 4310,
AIM 4330,AIM 4320,"major_restriction,instructor_consent",,0.0,TODO: complex prereq; extracted codes=AIM 4320,
AIM 4400,none,major_restriction,,2.0,,
AIM 4410,FINA 4075,major_restriction,,0.0,,
AIM 4420,AIM 4410,"major_restriction,instructor_consent",,0.0,,
